filename,ground_truth
airportroad_noise.mp4,"I was speaking from the airport road side earlier"
banashankari_fast.mp4,"I need to reach Banashankari before six in the evening"
basavanagudi_hebbal.mp4,"Tomorrow I will travel from Basavanagudi to Hebbal"
bellandur_signal.mp4,"Bellandur signal ke paas bahut traffic tha"
btm_hinglish.mp4,"Main BTM Layout side mein rehta hoon"
electroniccity_office.mp4,"Sir mera office Electronic City mein hai"
hebbal_traffic.mp4,"There was heavy traffic near Hebbal flyover today"
hsrlayout_route.mp4,"I came from HSR Layout through Outer Ring Road"
jayanagar_busstop.mp4,"The bus stop near Jayanagar was crowded yesterday"
Koramangala.mp4,"Hi sir I stay in Koramangala near the Sony signal"
krpuram_bridge.mp4,"The cab driver missed the KR Puram bridge exit"
mgroad_metro.mp4,"The interview venue is near MG Road metro station"
nagarbhavi_circle.mp4,"My friend stays close to Nagarbhavi circle"
rajajinagar_shift.mp4,"We shifted recently to Rajajinagar Bangalore"
richmondroad_call.mp4,"Can you hear me properly I am near Richmond Road now"
whitefield_office.mp4,"My office is located in Whitefield Bangalore"
yelahanka_cab.mp4,"Main Yelahanka se cab book kiya tha"
