filename,transcript
airportroad_noise.mp4, was speaking from the airport road side earlier
banashankari_fast.mp4, i need to reach banashankari before succsindhi evening
basavanagudi_hebbal.mp4, Tomorrow I will travel from Basawan to Hebel
bellandur_signal.mp4, виде over there
btm_hinglish.mp4, main bTM layout side main rakatahum
electroniccity_office.mp4,скynthesis
hebbal_traffic.mp4, There was heavy traffic near Hebel flyover today.
hsrlayout_route.mp4," I came from Hachesar, through Outer Ring Road"
Indiranagar_marthahali.mp4," I usually travel from Indra Nagattu, Marthahali."
jayanagar_busstop.mp4, The bus stop near Jayaan Nagar was covered yesterday.
Koramangala.mp4," Hi Sir, I stay in Kauramangala near the Sony signal."
krpuram_bridge.mp4, The cap driver must take care of the push exit.
manyanta_area.mp4, דれ maps x pix alum
mgroad_metro.mp4, The interview venue is near MG Road Metro Station.
nagarbhavi_circle.mp4, My friends stay close to near Nagarbhavi Saka
rajajinagar_shift.mp4, We shifted recently to Rajaji Nagar Bangalore.
richmondroad_call.mp4, Can you hear me properly? I am near Richmond Road now.
Silkboard_junction.mp4,verted silver fraight settlement we laundering
whitefield_office.mp4," My office is located in Whitefield, Mangalore."
yelahanka_cab.mp4, Main Elanta KEAB ~~
