filename,transcript
airportroad_noise.mp4, was speaking from the airport road side earlier
banashankari_fast.mp4, I need to reach Bana Shankar before 6th in the evening
basavanagudi_hebbal.mp4, Tomorrow I will travel from Basawan to Hebel
bellandur_signal.mp4, bell young signal keep pass very quickly
btm_hinglish.mp4, main BTM layout side main racketahum
electroniccity_office.mp4," Sir, my office is at the turn of the tea main."
hebbal_traffic.mp4, There was heavy traffic near Hebel flyover today.
hsrlayout_route.mp4," I came from Hachesar, through Outer Ring Road"
jayanagar_busstop.mp4, The bus stop near Jayaan Nagar was covered yesterday.
Koramangala.mp4," Hi Sir, I stay in Kauramangala near the Sony signal."
krpuram_bridge.mp4, The cap driver must take care of the push exit.
mgroad_metro.mp4, The interview venue is near MG Road Metro Station.
nagarbhavi_circle.mp4, My friend stays close to near Nagar Bavik Saka.
rajajinagar_shift.mp4, We shifted recently to Rajaji Nagar Bangalore.
richmondroad_call.mp4, Can you hear me properly? I am near Richmond Road now.
whitefield_office.mp4," My office is located in Whitefield, Mangalore."
yelahanka_cab.mp4, The main Alan know what he had called back then
